Country,City,Cloudiness (%),Humidity (%),Max Temperature,Latitude (Deg),Longitude (Deg),Wind Speed (mph),Description
IS,husavik,42,78,42.71,66.0449,-17.3389,24.09,scattered clouds
FR,narbonne,10,62,48.43,43.0833,2.8333,15.95,clear sky
US,seminole,1,66,84.47,28.7086,-81.2081,1.01,clear sky
CN,wanning,67,84,70.23,18.8003,110.3967,11.01,broken clouds
AU,katherine,33,83,79.12,-14.4667,132.2667,3.44,scattered clouds
US,wyndham,90,75,72.9,37.6985,-77.6125,3,overcast clouds
CA,moose factory,90,93,23,51.2585,-80.6094,9.22,snow
CO,almaguer,100,99,55.02,1.917,-76.8523,2.44,moderate rain
FO,vestmanna,90,81,43.72,62.1564,-7.1664,12.66,overcast clouds
UZ,komsomolskiy,11,47,34.52,40.4272,71.7189,6.91,few clouds
GN,faranah,99,27,73.81,10.0404,-10.7434,1.19,overcast clouds
JP,nanae,75,100,34.03,41.8833,140.6833,2.3,broken clouds
JP,nara,91,83,52.97,34.6851,135.8049,2.62,overcast clouds
US,college,90,77,-1.41,64.8569,-147.8028,11.5,light snow
RU,okha,98,95,24.85,53.5739,142.9478,8.52,light snow
BQ,kralendijk,20,69,82.38,12.15,-68.2667,12.66,few clouds
OM,nizwa,0,57,60.69,22.9333,57.5333,1.88,clear sky
US,livermore,1,37,60.01,37.6819,-121.768,0,clear sky
BR,descalvado,100,43,86.88,-21.9039,-47.6194,5.06,overcast clouds
IE,skibbereen,100,98,53.4,51.55,-9.2667,16.17,overcast clouds
US,sitka,75,80,31.89,57.0531,-135.33,5.75,light snow
AR,necochea,71,84,68.11,-38.5473,-58.7368,10.87,broken clouds
RU,krasnoselkup,76,98,-9.04,65.7,82.4667,9.71,broken clouds
RU,novouzensk,5,75,20.35,50.4592,48.1431,10.47,clear sky
ID,kalianget,100,80,80.31,-7.05,113.9333,2.35,overcast clouds
CL,copiapo,0,38,64.09,-27.3667,-70.3333,8.61,clear sky
IN,harihar,100,76,71.53,14.5167,75.8,9.31,overcast clouds
CA,lewisporte,97,96,33.55,49.2499,-55.0482,4.52,overcast clouds
RU,babushkin,53,60,15.28,51.7122,105.8647,7.94,broken clouds
GD,saint-georges,20,70,83.88,12.0564,-61.7485,11.5,few clouds
HR,biograd na moru,99,62,47.1,43.9433,15.4519,21.52,overcast clouds
US,moses lake,20,50,52.61,47.1301,-119.2781,23.02,few clouds
FO,klaksvik,69,79,45.52,62.2266,-6.589,25.64,broken clouds
GY,mabaruma,99,98,74.01,8.2,-59.7833,3.02,overcast clouds
BR,penapolis,46,32,80.2,-21.4197,-50.0775,6.44,scattered clouds
MN,erdenet,19,74,2.28,49.0333,104.0833,3.78,few clouds
RU,mezen,52,84,12.33,65.8522,44.24,9.19,broken clouds
BS,marsh harbour,1,70,77.54,26.5412,-77.0636,9.01,clear sky
US,anchorage,40,61,12.25,61.2181,-149.9003,6.91,scattered clouds
PL,miechow,100,93,33.58,50.3565,20.0279,4.45,overcast clouds
ZM,kasama,25,49,64.42,-10.2129,31.1808,4.38,scattered clouds
VN,dong hoi,97,87,69.66,17.4833,106.6,8.72,overcast clouds
CO,puerto asis,100,84,84.76,0.5133,-76.5007,2.53,overcast clouds
LY,tukrah,0,58,60.13,32.5341,20.5791,12.77,clear sky
PH,poctol,100,90,76.96,13.8195,121.432,11.32,overcast clouds
GL,nuuk,90,86,25.41,64.1835,-51.7216,6.91,light snow
CN,zhangzhou,0,91,64.15,24.5133,117.6556,2.01,clear sky
PG,kieta,96,68,84.72,-6.2167,155.6333,1.57,light rain
NZ,gisborne,100,96,62.94,-38.6533,178.0042,5.64,light rain
MZ,inhambane,41,90,77.02,-23.865,35.3833,10.18,scattered clouds
AU,byron bay,93,74,74.05,-28.65,153.6167,11.21,light rain
PE,pisco,0,73,71.65,-13.7,-76.2167,21.85,clear sky
CN,fuyu,4,76,10.9,45.1833,124.8167,13.04,clear sky
AO,namibe,73,77,71.01,-15.1961,12.1522,3.47,broken clouds
RU,zhigansk,100,97,-9.15,66.7697,123.3711,8.79,overcast clouds
CL,antofagasta,4,68,67.28,-23.65,-70.4,7.52,clear sky
JP,fukagawa,84,91,34.74,43.7081,142.0392,3.4,broken clouds
NZ,te anau,7,51,54.28,-45.4167,167.7167,1.32,clear sky
BR,sao felix do xingu,100,98,75.49,-6.6447,-51.995,1.1,overcast clouds
CL,coquimbo,20,59,67.73,-29.9533,-71.3436,12.66,few clouds
IN,almora,12,58,38.71,29.6167,79.6667,1.88,few clouds
IN,alibag,59,60,78.87,18.6411,72.8792,6.22,broken clouds
TZ,tunduma,80,64,62.91,-9.3,32.7667,5.19,broken clouds
CN,korla,6,76,20.62,41.7597,86.1469,2.62,clear sky
US,north bend,90,92,53.51,43.4065,-124.2243,20.71,overcast clouds
PF,tautira,64,76,86.02,-17.7333,-149.15,10.87,broken clouds
FR,laon,95,92,37.67,49.5667,3.6667,6.71,overcast clouds
NA,henties bay,34,87,60.85,-22.116,14.2845,2.84,scattered clouds
SD,sinnar,0,28,79.38,13.5691,33.5672,11.1,clear sky
PK,topi,54,28,48.87,34.0704,72.6236,5.61,broken clouds
CN,luocheng,100,82,47.66,29.3848,104.0286,2.06,overcast clouds
TR,artvin,84,59,45.68,41.1667,41.8333,5.88,broken clouds
ZM,siavonga,13,39,81.57,-16.5382,28.7088,5.28,few clouds
FI,kajaani,90,93,19.45,64.2273,27.7285,6.91,light snow
CN,shenxian,100,34,38.8,36.2411,115.6672,15.93,overcast clouds
ID,amahai,100,81,79.57,-3.3333,128.9167,4.59,overcast clouds
CA,shelburne,98,79,43.27,44.0787,-80.2041,31.52,overcast clouds
US,pacific grove,1,60,61.59,36.6177,-121.9166,1.99,clear sky
AU,codrington,19,57,61.63,-38.2667,141.9667,11.48,few clouds
JP,nishihara,20,77,61.88,26.1842,127.7558,3.44,few clouds
PL,szczytno,90,100,28.33,53.5626,20.9875,3.44,fog
MG,fenoarivo,40,82,62.67,-18.933,47.4354,6.91,scattered clouds
IN,nagram,19,54,51.85,26.6167,81.1333,3.69,few clouds
NC,vao,100,88,78.84,-22.6667,167.4833,16.42,overcast clouds
US,saint george,1,34,52.27,37.1041,-113.5841,3,clear sky
AU,sandy bay,75,68,56.3,-42.913,147.3532,5.75,broken clouds
JP,yoichi,97,73,37.22,43.2039,140.7703,8.28,overcast clouds
US,taos,1,22,38.8,36.4072,-105.5731,1.01,clear sky
LK,hambantota,0,100,77.34,6.1241,81.1185,4.61,clear sky
RU,kondinskoye,9,95,4.08,59.6481,67.41,7.85,clear sky
ZA,saldanha,32,83,61.9,-33.0117,17.9442,4.03,scattered clouds
US,south sioux city,1,50,35.55,42.4739,-96.4136,5.99,clear sky
US,marinette,1,75,36.05,45.1,-87.6307,5.75,clear sky
IN,bachhraon,79,45,54.21,28.9333,78.2167,2.91,broken clouds
NI,wiwili,70,80,83.14,13.6268,-85.8254,4.03,broken clouds
CD,ilebo,100,98,72.45,-4.3167,20.5833,1.83,light rain
NA,walvis bay,50,72,63.55,-22.9575,14.5053,3.44,scattered clouds
CN,qingdao,100,75,40.6,36.0986,120.3719,13.42,overcast clouds
TD,biltine,4,19,73.63,14.5333,20.9167,8.5,clear sky
IN,doda,80,34,47.57,33.1333,75.5667,4.52,broken clouds
CO,cartagena,40,66,85.62,10.3997,-75.5144,12.66,scattered clouds
PK,arifwala,100,23,58.51,30.294,73.0735,1.43,overcast clouds
PY,pedro juan caballero,0,31,91.36,-22.5472,-55.7333,0,clear sky
VN,vung tau,100,80,75.92,10.346,107.0843,6.38,overcast clouds
CN,yumen,0,55,19.49,40.2833,97.2,7.25,clear sky
PK,kharan,9,15,53.26,28.5833,65.4167,3.87,clear sky
MR,nouadhibou,0,49,69.78,20.931,-17.0347,14.97,clear sky
IN,karwar,23,72,76.82,14.8,74.1333,6.67,few clouds
PT,moura,1,80,51.91,38.1401,-7.4486,5.61,clear sky
AR,san juan,0,18,92.44,-31.5375,-68.5364,15.9,clear sky
ID,banda aceh,36,83,77.65,5.5577,95.3222,12.75,scattered clouds
CA,riviere-au-renard,100,96,30.2,48.9957,-64.3971,16.69,snow
IS,vestmannaeyjar,93,84,44.33,63.4427,-20.2734,27.22,overcast clouds
RU,ust-kuyga,99,99,-25.76,70.0167,135.6,4.68,overcast clouds
PE,talara,90,73,72.36,-4.5772,-81.2719,12.66,overcast clouds
SI,straza,89,98,36.37,45.78,15.0728,2.3,overcast clouds
AR,bahia blanca,8,31,88.11,-38.7196,-62.2724,4.25,clear sky
SN,koungheul,96,16,83.77,13.9833,-14.8,5.14,overcast clouds
ES,arona,20,65,63.39,28.0996,-16.681,1.01,few clouds
RU,ust-nera,77,96,-36.17,64.5667,143.2,1.68,broken clouds
CU,bahia honda,3,62,80.26,22.9036,-83.1592,5.79,light rain
SA,najran,5,53,52.45,17.4924,44.1277,0.38,clear sky
MY,kota kinabalu,20,100,73.38,5.9749,116.0724,5.75,few clouds
AU,nelson bay,100,83,68,-32.7167,152.15,14.7,light rain
CL,calama,1,11,70.29,-22.4667,-68.9333,24.16,clear sky
CN,hengshui,88,34,34.68,37.7322,115.7011,12.93,overcast clouds
AU,mandurah,38,83,60.22,-32.55,115.7,14.2,scattered clouds
AO,lucapa,100,95,66.04,-8.4192,20.7447,2.17,overcast clouds
ES,aviles,20,85,54.73,43.5547,-5.9248,1.99,few clouds
CA,saint-michel-des-saints,100,99,32.94,46.6834,-73.9159,8.84,overcast clouds
CA,baie-saint-paul,100,92,42.93,47.4411,-70.4986,1.01,snow
RU,ostrovnoy,98,93,24.21,68.0531,39.5131,17.47,overcast clouds
LC,dennery,20,69,82.53,13.8996,-60.8879,8.05,few clouds
IR,kerman,0,38,35.46,30.2832,57.0788,4.61,clear sky
CA,sault sainte marie,90,73,34.09,46.5168,-84.3333,23.02,light snow
RU,kurchanskaya,89,85,41.32,45.2219,37.5853,7.76,overcast clouds
TH,chaiya,15,82,76.28,9.3862,99.1986,6.08,few clouds
PW,kloulklubed,79,77,79.3,7.0419,134.2556,12.5,broken clouds
IN,ginda,68,25,40.57,30.6945,78.4932,6.85,broken clouds
NO,vikersund,93,98,33.6,59.9659,9.995,1.14,overcast clouds
IN,amtala,0,67,67.95,22.3714,88.2944,7.63,clear sky
RU,pitkyaranta,100,93,23.45,61.5734,31.4792,12.17,overcast clouds
CN,manzhouli,12,91,0.07,49.6,117.4333,13.65,few clouds
IN,malpe,9,79,79.9,13.35,74.7167,5.3,clear sky
NE,goure,0,11,67.66,13.9835,10.2704,10.33,clear sky
RU,tigil,100,89,11.07,57.8,158.6667,4.97,overcast clouds
AU,yeppoon,22,74,78.58,-23.1333,150.7333,16.71,few clouds
MX,san quintin,0,55,63.1,30.4833,-115.95,9.69,clear sky
RU,ust-koksa,28,75,4.77,50.2696,85.6108,1.16,scattered clouds
LK,trincomalee,24,78,80.69,8.5711,81.2335,13.85,few clouds
AU,mareeba,72,85,79.45,-17,145.4333,2.57,broken clouds
IT,avellino,100,77,46.69,40.9144,14.7887,8.5,overcast clouds
AU,sawtell,40,66,71.19,-30.3833,153.1,13.8,scattered clouds
RU,egvekinot,18,81,-26.79,66.3167,-179.1667,5.66,few clouds
GB,stornoway,20,85,44.56,58.2093,-6.3865,1.99,few clouds
CA,campbellton,100,95,28.85,48.0075,-66.6727,14.58,snow
CN,anshun,99,88,40.75,26.25,105.9333,14.25,overcast clouds
NO,gravdal,100,90,34.21,68.1214,13.5031,7.61,light snow
US,san jose,40,38,62.02,37.3394,-121.895,0,scattered clouds
MV,kudahuvadhoo,83,83,79.48,2.6708,72.8944,18.63,broken clouds
AR,moron,60,52,85.8,-34.6534,-58.6198,4,broken clouds
MZ,chibuto,45,53,81.19,-24.6867,33.5306,10.33,scattered clouds
CD,bumba,64,70,75.81,2.1833,22.4667,2.24,broken clouds
BR,conceicao do araguaia,98,87,77.56,-8.2578,-49.2647,3.09,overcast clouds
IN,bhuban,4,81,66.97,20.8833,85.8333,1.86,clear sky
KE,port victoria,60,64,72.28,0.0939,33.9756,4.94,broken clouds
IR,rudsar,0,80,53.58,37.1376,50.288,1.34,clear sky
PT,camacha,40,88,61.54,33.0833,-16.3333,12.66,drizzle
CA,clyde river,75,92,-3.77,70.4692,-68.5914,13.8,broken clouds
MX,lazaro cardenas,73,63,83.62,17.9583,-102.2,7.4,broken clouds
NP,kathmandu,20,100,44.82,27.7167,85.3167,2.3,few clouds
AE,sharjah,20,62,75.25,25.3573,55.4033,2.3,few clouds
IR,iranshahr,0,26,53.94,27.2025,60.6848,0,clear sky
KZ,kachiry,100,89,9.63,53.0675,76.1036,7.83,overcast clouds
LY,nalut,0,68,50.38,30.3333,10.85,8.23,clear sky
RU,bolshaya glushitsa,71,73,27.73,50.2406,43.5908,9.35,broken clouds
GN,sangueya,91,84,76.33,10.7,-14.3667,3.24,overcast clouds
GB,bridlington,100,95,47.28,54.0831,-0.1919,14.58,overcast clouds
BY,disna,100,97,33.35,55.568,28.1971,10,overcast clouds
LY,sabha,85,35,55.35,27.0377,14.4283,6.67,overcast clouds
IR,asadabad,0,36,39.13,34.7824,48.1185,2.28,clear sky
PL,oborniki,75,98,27.64,52.6474,16.8141,5.46,broken clouds
BR,cururupu,26,83,78.15,-1.8283,-44.8683,3.98,scattered clouds
BR,itacoatiara,100,94,77.13,-3.1431,-58.4442,2.37,moderate rain
IN,salem,51,95,69.71,11.65,78.1667,4.99,broken clouds
ID,sijunjung,100,99,71.94,-0.6876,100.9537,0.45,heavy intensity rain
NO,honningsvag,91,77,33.22,70.9821,25.9704,15.01,overcast clouds
GB,great yarmouth,100,96,47.95,52.6083,1.7305,18.72,light rain
CN,huangnihe,97,81,11.3,43.5583,128.0239,14.29,overcast clouds
BR,vila velha,20,87,78.75,-20.3297,-40.2925,10,few clouds
RU,sosva,30,95,4.35,59.1766,61.8558,3.24,scattered clouds
US,great falls,1,33,46.92,47.5002,-111.3008,18.01,clear sky
ID,kupang,20,100,75.78,-10.1667,123.5833,1.14,few clouds
RU,nagornyy,100,89,13.35,52.7959,83.5498,5.23,overcast clouds
FI,kuusamo,90,100,19.44,65.9667,29.1833,8.05,overcast clouds
GR,nemea,100,91,54.21,37.8167,22.6667,6.4,overcast clouds
CD,boende,95,89,74.73,-0.2167,20.8667,1.74,light rain
BR,caucaia,20,75,82.35,-3.7361,-38.6531,11.5,few clouds
AU,emerald,40,73,78.35,-23.5333,148.1667,9.22,scattered clouds
US,ahuimanu,75,68,80.85,21.4447,-157.8378,14.97,broken clouds
PL,sokolow podlaski,49,97,31.35,52.4068,22.2531,5.44,scattered clouds
RU,almaznyy,53,95,30.34,48.0448,40.045,9.42,broken clouds
CF,ouadda,68,30,77.41,8.0777,22.4007,7.72,broken clouds
CN,linxia,99,87,21.02,35.6003,103.2064,1.88,overcast clouds
NO,kautokeino,99,97,7.11,69.0125,23.0412,4.61,overcast clouds
PE,chicama,46,67,64.94,-7.8447,-79.1469,9.04,scattered clouds
SO,hobyo,11,81,78.26,5.3505,48.5268,17.31,few clouds
GH,anloga,99,81,84.42,5.7947,0.8973,9.95,overcast clouds
RU,batagay,100,100,-24.41,67.6333,134.6333,0.27,overcast clouds
RU,chelno-vershiny,5,87,13.93,54.4333,51.1,5.95,clear sky
ES,barcelona,40,83,54.54,41.3888,2.159,6.91,scattered clouds
RU,nyagan,85,93,6.39,62.1406,65.3936,5.23,overcast clouds
RU,anadyr,0,75,-26.9,64.75,177.4833,11.18,clear sky
AO,sumbe,87,88,77.59,-11.2061,13.8437,8.52,overcast clouds
GH,mumford,80,84,80.82,5.2618,-0.759,7.47,broken clouds
MY,marang,89,82,78.71,5.2056,103.2059,10.02,overcast clouds
US,meridian,75,71,41.32,43.6121,-116.3915,7,light rain
ZM,monze,3,34,74.43,-16.2833,27.4833,6.6,clear sky
UA,markova,100,99,32.7,48.6758,24.4138,2.24,light snow
BW,hukuntsi,100,57,73.76,-24,21.75,16.08,overcast clouds
LV,pavilosta,100,85,33.75,56.8879,21.1859,8.48,overcast clouds
US,clearlake,100,54,54.36,38.9582,-122.6264,4.47,overcast clouds
NA,oranjemund,0,85,61.66,-28.55,16.4333,6.64,clear sky
GB,scarborough,100,92,47.84,54.2797,-0.4044,5.99,overcast clouds
ID,manokwari,100,79,79.41,-0.8667,134.0833,3.6,overcast clouds
BD,jamalpur,0,54,60.67,24.9167,89.9333,8.16,clear sky
CA,ucluelet,100,87,42.1,48.9329,-125.5528,5.01,overcast clouds
RU,pinega,75,85,11.66,64.7001,43.3936,9.71,broken clouds
MW,nkhotakota,34,63,77.65,-12.9274,34.2961,3.85,scattered clouds
TZ,mahenge,46,92,63.32,-8.6833,36.7167,2.98,light rain
BR,morros,100,82,76.37,-9.4467,-46.3003,1.83,overcast clouds
BR,nova olimpia,100,88,77.63,-14.7972,-57.2881,3.8,light rain
RU,chumikan,100,95,11.32,54.7183,135.315,2.86,light snow
AU,nerang,19,73,76.93,-27.9833,153.3333,5.01,few clouds
RU,arman,100,84,11.71,59.7,150.1667,7.54,overcast clouds
AU,wonthaggi,7,69,62.71,-38.6044,145.5913,15.39,clear sky
ES,requena,4,81,56.98,39.4883,-1.1004,6.51,clear sky
PT,areosa,10,88,54.25,41.7178,-8.8571,7.23,clear sky
PL,hrubieszow,100,97,32.63,50.805,23.8925,3.31,overcast clouds
AU,roebourne,17,26,89.89,-20.7833,117.1333,14.32,few clouds
RU,verkhnevilyuysk,95,98,-27.89,63.4453,120.3167,4.47,overcast clouds
MX,nautla,34,71,81.32,20.2167,-96.7833,5.75,scattered clouds
PG,port moresby,75,89,78.22,-9.4431,147.1797,11.5,light rain
IS,dalvik,80,92,42.73,65.9702,-18.5286,9.08,broken clouds
BO,eucaliptus,65,26,63.46,-17.5833,-67.5167,10.58,broken clouds
PT,praia da vitoria,40,88,65.75,38.7333,-27.0667,27.22,scattered clouds
CA,prince rupert,75,85,37.09,54.3161,-130.3201,9.22,light rain
ID,gorontalo,83,95,75.4,0.5412,123.0595,3.42,broken clouds
AU,broken hill,0,30,71.31,-31.95,141.4333,9.22,clear sky
NG,kontagora,69,22,77.45,10.3999,5.4695,4.63,broken clouds
MX,ciudad del maiz,51,43,77.74,22.4,-99.6,12.17,broken clouds
LY,waddan,0,25,55.2,29.1614,16.139,6.96,clear sky
CA,port hardy,90,100,39.76,50.6996,-127.4199,6.91,light intensity shower rain
BR,petrolina,0,61,84.25,-9.3986,-40.5008,5.75,moderate rain
RU,mago,100,97,11.05,53.2514,140.1822,1.34,overcast clouds
CO,mutis,97,91,77.47,6.2262,-77.4044,1.16,moderate rain
US,kahului,20,76,80.62,20.8947,-156.47,25.32,few clouds
CO,pizarro,100,94,75.38,4.9533,-77.366,10.31,heavy intensity rain
MX,cancun,40,66,85.93,21.1743,-86.8466,11.5,scattered clouds
RU,vostok,100,97,11.5,46.4856,135.8833,3.22,overcast clouds
RU,kyra,14,85,-0.99,49.5776,111.9753,3.58,few clouds
SV,puerto el triunfo,3,59,92.26,13.2833,-88.55,5.79,clear sky
US,havelock,100,92,75.43,34.8791,-76.9013,8.01,overcast clouds
CA,corner brook,98,96,30.36,48.9667,-57.9484,2.04,overcast clouds
RU,zyryanka,33,97,-47.76,65.75,150.85,2.46,scattered clouds
US,lewiston,90,100,47.66,44.1003,-70.2148,0,mist
FI,kemijarvi,100,97,24.82,66.7131,27.4306,3.76,overcast clouds
NA,grootfontein,79,67,70.16,-19.5667,18.1167,5.75,broken clouds
ZM,mumbwa,30,32,74.82,-14.9783,27.0619,7.34,scattered clouds
TC,cockburn town,40,69,80.56,21.4612,-71.1419,17.27,scattered clouds
MG,ambilobe,74,73,72.66,-13.2,49.05,4.12,broken clouds
IN,vadamadurai,60,96,69.87,10.4667,78.0833,1.41,broken clouds
US,barstow,17,17,57.31,34.8986,-117.0228,3.38,few clouds
TR,suruc,5,60,44.8,36.9761,38.425,3.89,clear sky
RU,udachnyy,85,100,-44.59,66.4167,112.4,1.77,overcast clouds
BR,cruzilia,93,68,68.38,-21.8386,-44.8083,3.24,overcast clouds
TO,pangai,40,74,82.51,-19.8,-174.35,6.91,scattered clouds
ID,pemalang,100,82,76.3,-6.9,109.3667,6.04,overcast clouds
MG,amparafaravola,99,94,63.93,-17.5833,48.2167,3.27,overcast clouds
AU,biloela,0,65,76.82,-24.4167,150.5,11.16,clear sky
RU,novobiryusinskiy,100,95,24.91,56.9578,97.7076,8.37,light snow
NG,lokoja,83,23,82,7.8024,6.743,1.79,broken clouds
UG,gulu,46,34,69.89,2.7746,32.299,6.64,scattered clouds
US,oakdale,1,66,30.42,44.963,-92.9649,3,clear sky
KE,lamu,11,78,80.82,-2.2717,40.902,12.01,few clouds
RU,lysyye gory,1,64,17.74,51.5506,44.8414,6.82,clear sky
MN,baruun-urt,0,71,3.58,46.6806,113.2792,10.33,clear sky
US,ketchikan,75,93,32.47,55.3422,-131.6461,4.61,light snow
CL,constitucion,18,72,59.25,-35.3333,-72.4167,13.06,few clouds
CA,high prairie,100,75,31.3,55.4334,-116.4858,5.93,overcast clouds
PE,chilca,58,87,72.84,-12.5211,-76.7372,9.04,broken clouds
PT,vila,6,92,42.75,42.0304,-8.1588,4.12,clear sky
ZA,cradock,28,85,64.85,-32.1642,25.6192,4.63,scattered clouds
RU,sergiyev posad,54,89,8.35,56.3,38.1333,7.92,broken clouds
CV,praia,0,73,73.94,14.9215,-23.5087,16.11,clear sky
TZ,babati,63,92,62.87,-4.2167,35.75,1.57,light rain
ID,banjar,99,91,78.66,-8.19,114.9675,6.69,overcast clouds
MX,necaxa,67,64,70.34,20.2167,-98,6.46,broken clouds
BO,santa cruz,75,78,82.45,-17.8,-63.1667,14.97,broken clouds
GA,mayumba,100,92,76.3,-3.432,10.6554,3.94,overcast clouds
MT,san lawrenz,88,76,54.86,36.0553,14.204,5.01,overcast clouds
JP,tateyama,70,66,51.82,34.9833,139.8667,15.23,broken clouds
CN,nongan,0,67,14.41,44.382,125.1685,14.7,clear sky
UZ,navoi,9,80,33.28,40.0844,65.3792,4.61,clear sky
IT,vieste,100,73,46.9,41.8825,16.175,18.97,light rain
JM,seaforth,0,77,83.25,17.9358,-76.4573,5.53,clear sky
SD,abu zabad,0,26,71.83,12.35,29.25,11.12,clear sky
NA,gobabis,100,76,67.24,-22.45,18.9667,18.95,moderate rain
PF,moerai,99,74,78.13,-22.4333,-151.3333,0.45,light rain
CN,guilin,98,73,59.11,25.2819,110.2864,9.89,overcast clouds
PK,warah,39,26,60.69,27.4481,67.7978,5.06,scattered clouds
US,gonzales,90,67,69.98,30.2385,-90.9201,13.8,overcast clouds
